Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0603_1608Metric,226.0854,-155.4226,-90,top
C2,100nF,C_0603_1608Metric,217.0938,-167.0304,90,top
C3,1uF,C_0603_1608Metric,226.0854,-159.766,90,top
C4,100nF,C_0603_1608Metric,210.0834,-155.4226,-90,top
C5,100nF,C_0603_1608Metric,201.0918,-167.0304,90,top
C6,1uF,C_0603_1608Metric,210.0834,-159.766,90,top
C7,100nF,C_0603_1608Metric,194.0814,-155.4226,-90,top
C8,100nF,C_0603_1608Metric,185.0898,-167.0304,90,top
C9,1uF,C_0603_1608Metric,194.0814,-159.766,90,top
C10,100nF,C_0603_1608Metric,178.0794,-155.4226,-90,top
C11,100nF,C_0603_1608Metric,169.0878,-167.0304,90,top
C12,1uF,C_0603_1608Metric,178.0794,-159.766,90,top
C13,100nF,C_0603_1608Metric,162.0774,-155.4226,-90,top
C14,100nF,C_0603_1608Metric,153.0858,-167.0304,90,top
C15,1uF,C_0603_1608Metric,162.0774,-159.766,90,top
C16,100nF,C_0603_1608Metric,146.0754,-155.4226,-90,top
C17,100nF,C_0603_1608Metric,137.0838,-167.0304,90,top
C18,1uF,C_0603_1608Metric,146.0754,-159.766,90,top
C19,100nF,C_0603_1608Metric,130.0734,-155.4226,-90,top
C20,100nF,C_0603_1608Metric,121.0818,-167.0304,90,top
C21,1uF,C_0603_1608Metric,130.0734,-159.766,90,top
C22,100nF,C_0603_1608Metric,114.0714,-155.4226,-90,top
C23,100nF,C_0603_1608Metric,105.0798,-167.0304,90,top
C24,1uF,C_0603_1608Metric,114.0714,-159.766,90,top
C25,1uF,C_0603_1608Metric,169.736,-150.3124,180,top
C26,1uF,C_0603_1608Metric,177.9656,-150.3124,0,top
D1,LED_RED,LED_0603_1608Metric,186.4359,-140.081,0,top
D2,LED_GREEN,LED_0603_1608Metric,186.4359,-141.859,0,top
D3,LED_RED,LED_0603_1608Metric,183.1339,-140.081,0,top
D4,LED_GREEN,LED_0603_1608Metric,183.1339,-141.859,0,top
D5,LED_RED,LED_0603_1608Metric,179.8319,-140.081,0,top
D6,LED_GREEN,LED_0603_1608Metric,179.8319,-141.859,0,top
D7,LED_RED,LED_0603_1608Metric,176.5299,-140.081,0,top
